,Net1_NT1,Net2_NT1,Net3_NT1,Net4_NT1,Net5_NT1
307,-222.39554,-52.276062,-10.186401,-53.25742,74.97209
308,-198.19693,-66.549416,-39.96006,-30.785084,92.024
309,-170.13342,-62.72957,-67.73423,-24.465757,83.79338
310,-194.42487,-45.620586,-54.168877,-30.114857,66.40056
311,-230.89459,-38.03993,-59.08715,-47.204166,59.5609
312,-230.008,-37.159363,-86.19369,-72.338486,36.29153
313,-206.08627,-33.242393,-74.43386,-77.71799,16.722599
314,-199.41403,-36.12719,-42.578224,-65.54035,27.67184
315,-210.88748,-59.126156,-37.652466,-48.331413,56.879436
316,-207.5755,-62.661045,-59.901344,-31.335949,76.467224
317,-210.38074,-38.299644,-75.38105,-34.024548,79.454895
318,-266.24652,-19.335068,-62.68171,-36.095684,74.4715
319,-331.62457,-11.522161,-66.451775,-17.945517,71.63829
320,-360.53973,-9.462333,-109.93873,-2.956828,81.540054
321,-388.8294,20.849533,-123.576836,5.771064,75.39313
322,-375.26453,81.780396,-121.11848,4.086795,40.318787
323,-308.85107,137.08829,-139.37833,3.5627165,28.350632
324,-277.0288,184.0452,-135.06381,24.403309,32.934837
325,-249.608,215.02486,-113.5066,40.13286,27.761185
326,-171.25665,230.65991,-114.87072,36.376263,50.061146
327,-74.22571,246.21089,-115.55511,34.566063,71.204956
328,-2.3895874,259.74896,-89.31771,40.275116,50.897316
329,65.28462,253.115,-64.722084,44.60035,56.997684
330,149.45627,202.90529,-60.95324,36.624447,81.03778
331,211.8235,138.8143,-63.300117,16.958038,71.03612
332,226.53416,77.98375,-82.944756,-4.4774847,59.5919
333,194.99434,36.888935,-104.77038,-18.746553,39.175503
334,117.50397,44.904808,-98.073296,-22.472946,-6.7153344
335,19.144547,51.69124,-90.089516,-14.885253,-19.824415
336,-84.18475,27.736973,-116.65313,-8.958309,7.7260323
337,-196.17874,9.663707,-152.22229,-5.8689613,28.312675
338,-303.25708,-21.407219,-178.43903,19.292908,18.257927
339,-413.52722,-69.671326,-199.6258,53.350933,-12.435242
340,-539.6615,-103.18406,-190.25671,70.653625,-20.905235
341,-657.3085,-124.38364,-163.01047,86.872116,9.092541
342,-731.7072,-135.05122,-170.00742,94.41217,22.928524
343,-741.1035,-147.36932,-193.7363,88.83183,9.584232
344,-702.97974,-170.63326,-201.40973,100.753525,21.422897
345,-682.8158,-174.33128,-204.59528,116.2634,50.085358
346,-655.52814,-171.29921,-227.975,120.964355,60.573666
347,-577.3316,-197.26387,-263.64612,114.98131,58.520405
348,-493.9076,-231.04018,-286.5868,94.71979,53.33227
349,-412.2066,-244.22574,-284.45776,95.743904,55.11334
350,-302.20325,-249.41083,-289.4367,98.54356,54.74165
351,-209.3049,-264.00516,-294.21094,82.810455,48.77573
352,-151.64331,-279.21436,-274.5272,84.422585,50.165398
353,-67.039246,-297.10574,-258.30206,71.37397,64.02205
354,27.03366,-317.00497,-260.61566,32.29271,83.110214
355,75.8587,-319.88806,-245.3652,28.883564,88.20032
356,105.98831,-315.20514,-212.19626,39.007526,106.78175
357,175.38141,-328.53418,-195.84549,28.541492,137.63101
358,251.3959,-351.67746,-205.86124,27.390537,134.41614
359,266.57242,-343.7007,-209.43375,36.479877,125.54997
360,247.76178,-303.16086,-192.58023,36.241,136.01936
361,278.1407,-305.08517,-196.45578,24.915237,125.24161
362,348.16162,-353.08633,-227.16287,6.519725,93.653824
363,396.00095,-359.01312,-234.49951,-11.724406,70.68376
364,416.53772,-321.01453,-227.36514,-18.938917,64.34314
365,421.81024,-290.50644,-226.78284,-14.97948,58.780293
366,408.45416,-267.6885,-211.82657,-16.855331,48.513462
367,397.2631,-240.4021,-203.14389,-36.20416,40.723362
368,410.8636,-234.25409,-208.08215,-45.599335,25.726574
369,402.88525,-222.45096,-191.17285,-22.736956,27.985668
370,372.2717,-175.51631,-140.43195,0.0398798,58.615986
371,387.68787,-156.11816,-105.62643,-0.8885336,71.57561
372,406.4416,-156.2668,-117.739586,-8.797506,68.06874
373,365.057,-120.764885,-121.07629,-4.7595778,76.79144
374,321.72293,-90.43915,-92.40334,-3.627036,81.1456
375,291.2523,-88.31755,-81.32781,-12.150632,72.75586
376,230.61949,-55.622063,-94.48914,2.2438326,57.995235
377,182.72005,-1.3519144,-118.222984,23.505756,46.686405
378,167.93929,7.6968155,-129.30731,22.815228,30.597385
379,139.6769,-11.909786,-117.178764,13.790673,5.437561
380,91.823166,-9.012428,-113.60836,-0.16838264,0.046577454
381,64.126816,-4.1584144,-113.41569,-1.7948046,10.679094
382,65.17459,-24.162369,-109.61382,15.963286,3.840641
383,60.26219,-35.896736,-128.32153,5.970866,-13.167073
384,28.150894,-21.094723,-152.88507,-41.18402,-18.958721
385,1.412796,-4.8273406,-151.0398,-74.374214,-11.708353
386,-17.597992,6.0192595,-140.27386,-71.38647,-11.949016
387,-66.50018,27.57367,-125.72025,-65.23482,-17.768465
388,-119.99823,33.297043,-103.78141,-80.777885,-10.2850895
389,-136.5358,18.131626,-91.49261,-94.21442,0.7130623
390,-150.3435,15.159795,-77.17057,-95.9263,0.034395218
391,-182.06589,20.145733,-47.94773,-102.968994,-26.838171
392,-194.31042,19.378464,-15.523933,-97.34279,-51.787907
393,-200.78116,26.265488,10.719933,-71.86511,-48.272377
394,-214.27402,25.198559,11.566574,-61.73226,-39.271004
395,-200.97379,13.577544,13.527657,-57.523006,-27.030449
396,-193.4036,18.348007,34.59793,-34.820953,-12.140365
397,-203.17224,19.65393,25.900688,-29.82787,-16.945797
398,-197.00534,5.4291134,-20.625008,-63.56532,-23.876854
399,-207.67258,-0.031246185,-50.233696,-80.96667,-28.33846
400,-239.77664,-15.125567,-44.22,-69.69655,-50.543114
401,-261.8951,-32.41122,-45.043518,-71.10942,-68.93933
402,-286.77643,-18.051693,-47.38186,-67.74558,-72.12073
403,-306.64795,-7.4326334,-21.932487,-34.918507,-64.86505
404,-299.61414,-13.99482,-16.552315,-20.324806,-36.477448
405,-281.00726,-18.795332,-51.757286,-34.85449,-12.184158
406,-290.39734,-6.121545,-61.60575,-36.85037,-8.632214
407,-319.16852,14.680905,-39.75486,-24.89442,-7.7693834
408,-320.98413,16.941795,-43.55239,-13.961105,-18.251469
409,-308.29187,10.84908,-72.9638,-6.213361,-38.79684
410,-327.06238,-1.7891893,-78.657845,-9.0232315,-38.01633
411,-362.00842,-31.547508,-61.25576,-15.311009,-15.164465
412,-381.8485,-43.49922,-58.75141,-12.1550045,-12.419476
413,-390.69116,-29.960773,-69.39457,-2.5344677,-34.45576
414,-392.6919,-36.198853,-74.64791,-4.658948,-36.373276
415,-390.4336,-49.80868,-84.96856,-24.425465,-14.52865
416,-404.2079,-9.81681,-91.49708,-33.9178,-16.07278
417,-411.8777,62.858204,-100.39309,-27.344116,-42.027443
418,-362.14178,113.51017,-128.12405,-29.262745,-49.061996
419,-281.9115,145.30408,-125.93398,-35.913326,-28.929787
