,Net1_M1,Net2_M1,Net3_M1,Net4_M1,Net5_M1
438,-559.8408,103.921745,-72.87165,42.857403,12.422295
439,-470.37543,106.112946,-75.835884,58.65833,-2.529048
440,-367.7276,86.22153,-115.65147,58.46475,20.178562
441,-256.5113,88.28016,-150.35269,54.207027,84.25421
442,-150.0155,96.61369,-166.73007,49.643597,98.3539
443,-37.892426,62.340816,-193.4686,37.936863,67.45976
444,59.849625,9.336844,-204.12946,19.632946,60.096455
445,108.14836,-8.234287,-192.86938,9.841123,59.98776
446,146.78372,-5.6963663,-203.02048,-3.1103163,47.780224
447,199.02826,-19.44934,-216.19858,-34.908997,52.345623
448,246.53189,-50.78688,-221.659,-55.802788,63.581646
449,288.18982,-75.14671,-233.47247,-55.30467,50.834484
450,317.09573,-77.68738,-233.79837,-65.97307,33.12872
451,351.42526,-84.19906,-234.60742,-91.98212,26.040546
452,416.05447,-114.70694,-254.25119,-122.318634,18.828617
453,460.84705,-138.58495,-264.8666,-149.89835,35.326782
454,434.6876,-117.89711,-254.84665,-162.19794,48.709454
455,395.77188,-85.58491,-241.70651,-159.55821,31.637787
456,400.52014,-79.382866,-246.3027,-154.68442,26.787598
457,406.1775,-62.768116,-248.9114,-150.54593,24.698322
458,386.02087,-21.557903,-222.92609,-149.43024,1.3303204
459,371.46542,4.9434824,-203.28424,-147.86613,3.7541313
460,362.90936,29.619633,-204.09995,-144.91725,23.157627
461,333.64154,89.98451,-175.24814,-137.11432,17.076647
462,297.31052,155.4094,-128.96484,-126.325554,12.663471
463,284.97952,193.64688,-124.05755,-131.33507,23.238525
464,239.77515,230.8016,-111.23365,-138.52827,5.6979218
465,139.79144,280.70023,-62.1397,-116.551155,-21.301079
466,69.53104,316.30075,-31.079842,-101.52406,-19.154049
467,49.14662,318.0056,-8.504845,-117.62044,1.0968246
468,15.039841,319.6302,10.666122,-122.683945,5.552944
469,-35.51129,356.69498,-14.33448,-120.566376,-2.0786695
470,-73.59943,402.32846,-43.90452,-138.9166,-5.671591
471,-102.68997,420.15567,-17.148773,-134.35715,-29.191496
472,-134.5552,429.56082,5.9340286,-99.67754,-55.377037
