,coords,areas,subjs,regions
256,[-35029.98642798  20664.10606655   7387.37308508],['IFG' 'IFG'],BJH069,VLPFC
257,[-35594.3584343   22883.59083025  10769.08298677],['IFG' 'IFG'],BJH069,VLPFC
258,[-37825.14045646  30963.14328858  22817.023918  ],['MFG' 'MFG'],BJH069,DLPFC
259,[-38401.93846428  32695.27699428  26294.14983155],['MFG' 'MFG'],BJH069,DLPFC
260,[-38978.73647209  34427.41069997  29771.27574511],['MFG' 'MFG'],BJH069,DLPFC
261,[-37017.45642264  -6012.85364568 -13004.94181711],['INS' 'INS'],BJH069,INS
262,[-36622.03843633  -7475.54731362  -9993.97695731],['INS' 'INS'],BJH069,INS
263,[-36239.66445157  -8834.56246874  -6458.24053504],['INS' 'INS'],BJH069,INS
264,[-35844.24646526 -10297.25613667  -3447.27567525],['INS' 'INS'],BJH069,INS
265,[-35461.25448044 -12247.30086261   -340.89480359],['INS' 'INS'],BJH069,INS
266,[-35601.64849717 -14061.98507573   3284.81463054],['INS' 'INS'],BJH069,INS
267,[-35206.23051086 -15524.67874366   6295.77949034],['INS' 'INS'],BJH069,INS
268,[-34810.81252455 -16987.37241159   9306.74435013],['INS' 'INS'],BJH069,INS
269,[-34428.43853979 -18346.38756672  12842.4807724 ],['INS' 'INS'],BJH069,INS
270,[-34058.49055651 -20192.75377984  16473.63320653],['INS' 'INS'],BJH069,INS
271,[-34185.8405717  -22111.11650577  19574.57107819],['INS' 'INS'],BJH069,INS
272,[-39403.99264716 -54955.29645517  18380.82297473],['STG' 'STG'],BJH069,STG
273,[-42963.96064567 -54246.17139717  18247.30596287],['STG' 'STG'],BJH069,STG
274,[-46536.35464567 -54024.39739717  18209.20496287],['STG' 'STG'],BJH069,STG
275,[-50108.74864567 -53802.62339717  18171.10396287],['STG' 'STG'],BJH069,STG
276,[-53681.14264567 -53580.84939717  18133.00296287],['STG' 'STG'],BJH069,STG
277,[-57253.53664567 -53359.07539717  18094.90196287],['STG' 'STG'],BJH069,STG
278,[-60825.93064567 -53137.30139717  18056.80096287],['STG' 'STG'],BJH069,STG
279,[ -5434.3504906  -21074.17369349  -1927.97902418],['mTHAL' 'mTHAL'],BJH069,N
280,[ -8523.10849373 -20085.69509705   -481.73834864],['mTHAL' 'mTHAL'],BJH069,N
281,[-12122.20849687 -19065.53450061    959.05932691],['mTHAL' 'mTHAL'],BJH069,N
282,[-15720.69049996 -18636.40347498   1970.50145185],['mTHAL' 'mTHAL'],BJH069,N
283,[-18796.40450155 -17751.60339135   2891.97056492],['PAL' 'PAL'],BJH069,N
284,[-22395.50450469 -16731.44279491   4332.76824046],['PAL' 'PAL'],BJH069,N
285,[-25994.60450783 -15711.28219847   5773.56591601],['PAL' 'PAL'],BJH069,N
286,[-29070.31850942 -14826.48211485   6695.03502908],['PAL' 'PAL'],BJH069,N
287,[-32171.50251405 -14325.35457641   8236.69171649],['CAUD' 'CAUD'],BJH069,N
288,[-35770.60251719 -13305.19397997   9677.48939203],['CAUD' 'CAUD'],BJH069,N
289,[-39356.65851878 -12388.71189634  10593.5155051 ],['INS' 'INS'],BJH069,INS
290,[-42445.41652192 -11400.2332999   12039.75618065],['INS' 'INS'],BJH069,INS
291,[-46044.51652505 -10380.07270346  13480.55385619],['PreCG' 'PreCG'],BJH069,M1
292,[-49642.99852814  -9950.94167783  14491.99598113],['PreCG' 'PreCG'],BJH069,M1
293,[-52718.71252973  -9066.14159421  15413.4650942 ],['PreCG' 'PreCG'],BJH069,M1
294,[-55807.47053287  -8077.66299777  16859.70576975],['PreCG' 'PreCG'],BJH069,M1
295,[-59406.57053601  -7057.50240133  18300.50344529],['PreCG' 'PreCG'],BJH069,M1
296,[ -2933.80231327  23367.23659264 -22622.00453736],['OFC' 'OFC'],BJH069,OFC
297,[ -6532.28431636  23796.36761827 -21610.56241242],['OFC' 'OFC'],BJH069,OFC
298,[-10130.76631945  24225.49864389 -20599.12028748],['OFC' 'OFC'],BJH069,OFC
299,[-13218.90632253  24622.94766952 -19582.23516255],['OFC' 'OFC'],BJH069,OFC
300,[-16842.85832866  24668.40614996 -17950.60546328],['OFC' 'OFC'],BJH069,OFC
301,[-20466.81033478  24713.8646304  -16318.97576401],['OFC' 'OFC'],BJH069,OFC
302,[-23554.95033787  25111.31365603 -15302.09063907],['OFC' 'OFC'],BJH069,OFC
303,[-27153.43234095  25540.44468165 -14290.64851413],['OFC' 'OFC'],BJH069,OFC
304,[-30751.91434404  25969.57570728 -13279.20638919],['OFC' 'OFC'],BJH069,OFC
305,[-33840.05434713  26367.02473291 -12262.32126426],['IFG' 'IFG'],BJH069,VLPFC
306,[-37438.53635021  26796.15575853 -11250.87913932],['IFG' 'IFG'],BJH069,VLPFC
307,[-41049.44435479  26737.93572616 -10144.02100252],['IFG' 'IFG'],BJH069,VLPFC
308,[-44150.01035938  26648.03369378  -9031.71986572],['IFG' 'IFG'],BJH069,VLPFC
